,certificate,genre,gross,imdb_rating,metascore,runtime,title,votes,year
0,PG,"['Animation', 'Action', 'Adventure']",189901576.0,8.5,87.0,117 min,Spider-Man: Into the Spider-Verse,160402.0,2018
1,PG-13,"['Action', 'Adventure', 'Fantasy']",334798862.0,7.2,55.0,143 min,Aquaman,210916.0,2018
2,R,"['Crime', 'Drama', 'Thriller']",103804407.0,7.1,58.0,116 min,The Mule,32373.0,2018
3,PG-13,"['Biography', 'Comedy', 'Drama']",83956251.0,8.3,69.0,130 min,Green Book,158250.0,2018
4,PG-13,"['Biography', 'Drama', 'Music']",215956725.0,8.1,49.0,134 min,Bohemian Rhapsody,310740.0,2018
5,PG-13,"['Adventure', 'Family', 'Fantasy']",159555901.0,6.7,52.0,134 min,Fantastic Beasts: The Crimes of Grindelwald,144235.0,2018
6,PG-13,"['Action', 'Adventure', 'Sci-Fi']",678815482.0,8.5,68.0,149 min,Avengers: Infinity War,609339.0,2018
7,PG-13,"['Action', 'Adventure', 'Sci-Fi']",127195589.0,7.0,66.0,114 min,Bumblebee,65836.0,2018
8,R,"['Drama', 'Music', 'Romance']",215242894.0,7.8,88.0,136 min,A Star Is Born,223652.0,2018
9,R,"['Action', 'Crime', 'Drama']",,7.4,63.0,159 min,Dragged Across Concrete,4274.0,2018
10,PG,"['Comedy', 'Family', 'Fantasy']",171831491.0,7.0,66.0,130 min,Mary Poppins Returns,41076.0,2018
11,R,"['Biography', 'Comedy', 'Drama']",34156151.0,7.7,90.0,119 min,The Favourite,98298.0,2018
12,R,"['Action', 'Adventure', 'Comedy']",324591735.0,7.8,66.0,119 min,Deadpool 2,365665.0,2018
13,PG-13,"['Action', 'Adventure', 'Fantasy']",15951040.0,6.2,44.0,128 min,Mortal Engines,54952.0,2018
14,PG-13,"['Comedy', 'Drama']",67363237.0,7.4,57.0,118 min,Instant Family,33791.0,2018
15,R,"['Biography', 'Comedy', 'Drama']",47820735.0,7.2,61.0,132 min,Vice,53346.0,2018
16,PG,"['Biography', 'Comedy', 'Drama']",5392227.0,7.4,75.0,98 min,Stan & Ollie,10445.0,2018
17,PG-13,"['Action', 'Adventure', 'Sci-Fi']",700059566.0,7.3,88.0,134 min,Black Panther,484656.0,2018
18,R,"['Drama', 'History', 'Thriller']",95493.0,7.2,62.0,123 min,Hotel Mumbai,1177.0,2018
19,PG-13,"['Action', 'Adventure', 'Sci-Fi']",417719760.0,6.2,51.0,128 min,Jurassic World: Fallen Kingdom,206492.0,2018
20,PG-13,"['Drama', 'Sport']",115715889.0,7.3,66.0,130 min,Creed II,60298.0,2018
21,R,"['Biography', 'Crime', 'Drama']",48686605.0,7.5,83.0,135 min,BlacKkKlansman,130136.0,2018
22,PG,"['Animation', 'Adventure', 'Comedy']",200980260.0,7.2,71.0,111 min,Ralph Breaks the Internet,71159.0,2018
23,R,"['Action', 'Adventure', 'Horror']",21704844.0,6.7,60.0,110 min,Overlord,47458.0,2018
24,PG-13,"['Adventure', 'Comedy', 'Crime']",30573626.0,3.6,24.0,90 min,Holmes & Watson,11398.0,2018
25,R,"['Drama', 'Horror', 'Music']",733364.0,7.3,67.0,97 min,Climax,19199.0,2018
26,PG,"['Animation', 'Adventure', 'Comedy']",99215042.0,7.4,60.0,104 min,Christopher Robin,46971.0,2018
27,Not Rated,"['Action', 'Fantasy', 'Horror']",1214525.0,6.6,81.0,121 min,Mandy,40558.0,2018
28,R,"['Fantasy', 'Horror', 'Mystery']",2474044.0,6.9,64.0,152 min,Suspiria,29540.0,2018
29,R,"['Drama', 'Romance', 'Sci-Fi']",,6.4,,85 min,A.I. Rising,4685.0,2018
30,R,"['Drama', 'Horror', 'Mystery']",44069456.0,7.3,87.0,127 min,Hereditary,139682.0,2018
31,R,"['Biography', 'Drama', 'History']",16468499.0,6.3,60.0,124 min,Mary Queen of Scots,19050.0,2018
32,PG-13,"['Action', 'Comedy', 'Crime']",139377762.0,6.2,61.0,110 min,Ocean's 8,134415.0,2018
33,R,"['Crime', 'Drama', 'Thriller']",42402632.0,7.0,84.0,129 min,Widows,53485.0,2018
34,PG-13,"['Action', 'Adventure', 'Thriller']",30824628.0,5.3,32.0,116 min,Robin Hood,34776.0,2018
35,PG-13,"['Action', 'Adventure', 'Comedy']",216648740.0,7.1,70.0,118 min,Ant-Man and the Wasp,212366.0,2018
36,R,"['Crime', 'Romance']",,6.3,56.0,91 min,Finding Steve McQueen,667.0,2018
37,R,"['Comedy', 'Crime', 'Drama']",53542417.0,6.9,67.0,117 min,A Simple Favor,75437.0,2018
38,PG-13,"['Comedy', 'Romance']",174532921.0,7.0,74.0,120 min,Crazy Rich Asians,84890.0,2018
39,PG-13,"['Action', 'Sci-Fi', 'Thriller']",213515506.0,6.8,35.0,112 min,Venom,250996.0,2018
40,R,"['Action', 'Horror', 'Sci-Fi']",69086325.0,5.1,54.0,98 min,The First Purge,38364.0,2018
41,R,"['Drama', 'Horror', 'Sci-Fi']",,6.7,51.0,124 min,Bird Box,200848.0,2018
42,PG-13,"['Action', 'Drama', 'History']",,6.5,53.0,117 min,Kursk,4255.0,2018
43,,"['Action', 'Crime']",,6.6,,107 min,Ye wen wai zhuan: Zhang tian zhi,1474.0,2018
44,PG-13,"['Biography', 'Drama', 'History']",44936545.0,7.4,84.0,141 min,First Man,108860.0,2018
45,PG-13,"['Action', 'Adventure', 'Fantasy']",213767512.0,7.0,62.0,135 min,Solo: A Star Wars Story,213289.0,2018
46,PG-13,"['Action', 'Adventure', 'Sci-Fi']",137690172.0,7.5,64.0,140 min,Ready Player One,289118.0,2018
47,R,['Drama'],,7.8,96.0,135 min,Roma,98399.0,2018
48,R,"['Crime', 'Drama', 'Mystery']",17839115.0,7.1,60.0,141 min,Bad Times at the El Royale,75206.0,2018
49,R,['Comedy'],54547470.0,6.6,56.0,100 min,Tag,76427.0,2018
50,R,"['Action', 'Crime', 'Drama']",1533324.0,6.5,62.0,121 min,Destroyer,6252.0,2018
51,R,"['Comedy', 'Drama', 'Musical']",,7.3,79.0,133 min,The Ballad of Buster Scruggs,79994.0,2018
52,R,"['Drama', 'Horror', 'Mystery']",10435945.0,6.2,53.0,98 min,Greta,3057.0,2018
