,certificate,genre,gross,imdb_rating,metascore,runtime,title,votes,year
53,PG,"['Animation', 'Action', 'Adventure']",608581744.0,7.7,80.0,118 min,Incredibles 2,189281.0,2018
54,PG-13,"['Action', 'Drama', 'Thriller']",6235.0,6.2,70.0,106 min,Skjelvet,4195.0,2018
55,R,"['Adventure', 'Drama', 'Horror']",32732301.0,6.9,79.0,115 min,Annihilation,218789.0,2018
56,R,['Drama'],,7.2,73.0,105 min,Girl,5494.0,2018
57,PG-13,"['Drama', 'Horror', 'Mystery']",188024361.0,7.6,82.0,90 min,A Quiet Place,286738.0,2018
58,R,"['Drama', 'Romance']",14886895.0,7.3,87.0,119 min,If Beale Street Could Talk,19387.0,2018
59,PG-13,"['Comedy', 'Drama', 'Romance']",39282227.0,5.8,46.0,103 min,Second Act,9102.0,2018
60,R,"['Drama', 'Music', 'Romance']",4557943.0,7.7,90.0,89 min,Cold War,29395.0,2018
61,PG-13,"['Action', 'Adventure', 'Thriller']",220159104.0,7.8,86.0,147 min,Mission: Impossible - Fallout,221934.0,2018
62,R,['Drama'],1564811.0,8.4,75.0,126 min,Capharnaüm,12334.0,2018
63,R,"['Action', 'Comedy', 'Crime']",1959204.0,5.9,56.0,108 min,Assassination Nation,7578.0,2018
64,R,"['Comedy', 'Drama', 'Romance']",2504663.0,6.9,80.0,102 min,Gloria Bell,940.0,2018
65,TV-MA,"['Drama', 'Romance', 'Thriller']",,7.6,,128 min,Durante la tormenta,4455.0,2018
66,,['Sci-Fi'],,5.9,46.0,102 min,Level 16,1049.0,2018
67,PG-13,"['Drama', 'Mystery', 'Thriller']",26020957.0,7.7,71.0,102 min,Searching,87028.0,2018
68,R,"['Crime', 'Drama', 'Mystery']",2565331.0,7.0,68.0,133 min,Everybody Knows,14783.0,2018
69,R,"['Action', 'Crime', 'Drama']",14841338.0,6.1,43.0,117 min,The Girl in the Spider's Web,23753.0,2018
70,R,"['Crime', 'Drama', 'Horror']",87008.0,6.9,42.0,152 min,The House That Jack Built,30341.0,2018
71,R,"['Action', 'Thriller']",15767460.0,6.6,43.0,122 min,Hunter Killer,29247.0,2018
72,R,"['Adventure', 'Comedy', 'Crime']",3143056.0,7.0,78.0,122 min,The Sisters Brothers,25280.0,2018
73,R,['Drama'],3703184.0,6.8,66.0,103 min,Ben Is Back,7215.0,2018
74,R,"['Biography', 'Drama', 'Horror']",253184.0,6.5,47.0,118 min,Lords of Chaos,3884.0,2018
75,R,"['Comedy', 'Crime', 'Drama']",,6.3,61.0,139 min,Under the Silver Lake,12309.0,2018
76,R,"['Biography', 'Comedy', 'Crime']",8803865.0,7.2,87.0,106 min,Can You Ever Forgive Me?,23708.0,2018
77,R,"['Crime', 'Mystery', 'Thriller']",252676.0,4.3,16.0,118 min,London Fields,2123.0,2018
78,,"['Fantasy', 'Horror']",,7.5,,72 min,The Head Hunter,69.0,2018
79,R,"['Drama', 'Sci-Fi', 'Thriller']",,5.6,,80 min,Chimera Strain,869.0,2018
80,PG-13,"['Biography', 'Drama']",24622687.0,6.7,59.0,120 min,On the Basis of Sex,6646.0,2018
81,R,"['Horror', 'Thriller']",159342015.0,6.7,67.0,106 min,Halloween,81415.0,2018
82,R,"['Biography', 'Drama']",7649973.0,7.3,62.0,120 min,Beautiful Boy,26383.0,2018
83,R,"['Drama', 'Music']",,6.0,65.0,134 min,Her Smell,397.0,2018
84,PG-13,"['Comedy', 'Musical', 'Romance']",120634935.0,6.8,60.0,114 min,Mamma Mia! Here We Go Again,54908.0,2018
85,R,['Thriller'],112532.0,6.7,57.0,110 min,The Hummingbird Project,541.0,2018
86,PG-13,['Drama'],1028993.0,7.0,80.0,105 min,Wildlife,11627.0,2018
87,R,"['Action', 'Crime', 'Drama']",44947622.0,7.0,49.0,140 min,Den of Thieves,66432.0,2018
88,TV-14,"['Comedy', 'Romance']",,6.2,,105 min,The Kissing Booth,40877.0,2018
89,PG-13,"['Action', 'Horror', 'Sci-Fi']",145443742.0,5.7,46.0,113 min,The Meg,102238.0,2018
90,PG-13,"['Adventure', 'Drama']",2259847.0,7.3,71.0,98 min,Arctic,2918.0,2018
91,R,"['Action', 'Adventure', 'Sci-Fi']",51024708.0,5.4,48.0,107 min,The Predator,87372.0,2018
92,PG-13,"['Drama', 'Sci-Fi', 'Thriller']",4046429.0,5.4,19.0,107 min,Replicas,11925.0,2018
93,R,"['Drama', 'Fantasy', 'Romance']",771930.0,7.1,75.0,110 min,Border,8283.0,2018
94,R,"['Crime', 'Drama']",3270902.0,8.1,93.0,121 min,Shoplifters,24011.0,2018
95,R,"['Action', 'Drama', 'Thriller']",46874505.0,6.6,53.0,140 min,Red Sparrow,131532.0,2018
96,R,"['Drama', 'Music']",727119.0,6.1,68.0,114 min,Vox Lux,6462.0,2018
97,R,"['Action', 'Comedy', 'Crime']",69001013.0,7.0,66.0,100 min,Game Night,154907.0,2018
98,PG-13,"['Action', 'Adventure', 'Thriller']",67796355.0,5.8,51.0,102 min,Skyscraper,74425.0,2018
99,R,"['Action', 'Crime', 'Drama']",50072235.0,7.1,61.0,122 min,Sicario: Day of the Soldado,87831.0,2018
100,R,"['Biography', 'Drama']",6788692.0,7.0,69.0,115 min,Boy Erased,15428.0,2018
101,R,"['Adventure', 'Drama', 'Horror']",,6.7,81.0,110 min,High Life,1669.0,2018
102,R,"['Action', 'Sci-Fi', 'Thriller']",11871365.0,7.6,67.0,100 min,Upgrade,96533.0,2018
103,R,"['Horror', 'Mystery', 'Thriller']",14837422.0,5.2,37.0,86 min,The Possession of Hannah Grace,9469.0,2018
104,R,"['Horror', 'Mystery', 'Thriller']",117443149.0,5.4,46.0,96 min,The Nun,81939.0,2018
105,PG-13,"['Comedy', 'Romance']",48795601.0,5.4,48.0,110 min,I Feel Pretty,37159.0,2018
106,R,"['Drama', 'Sci-Fi', 'Thriller']",,6.1,68.0,100 min,Prospect,4870.0,2018
107,Not Rated,"['Drama', 'Mystery']",718991.0,7.6,90.0,148 min,Burning,17548.0,2018
108,PG-13,"['Biography', 'Comedy', 'Crime']",11277120.0,6.8,80.0,93 min,The Old Man & the Gun,22031.0,2018
109,TV-14,"['Drama', 'Romance']",,7.3,64.0,99 min,To All the Boys I've Loved Before,57253.0,2018
110,R,"['Action', 'Crime', 'Drama']",34017028.0,6.4,31.0,107 min,Death Wish,47226.0,2018
111,R,"['Crime', 'Drama', 'Thriller']",207140.0,7.5,83.0,85 min,The Guilty,21315.0,2018
112,PG-13,"['Action', 'Adventure', 'Sci-Fi']",99345950.0,6.1,45.0,107 min,Rampage,110415.0,2018
113,PG-13,"['Action', 'Adventure', 'Fantasy']",57421715.0,6.3,48.0,119 min,Tomb Raider,157065.0,2018
114,PG,"['Adventure', 'Family', 'Fantasy']",54858851.0,5.5,39.0,99 min,The Nutcracker and the Four Realms,16291.0,2018
115,R,"['Biography', 'Drama', 'History']",5137622.0,6.8,74.0,111 min,Colette,10283.0,2018
116,R,"['Action', 'Comedy', 'Fantasy']",,5.3,,104 min,Slaughterhouse Rulez,2908.0,2018
117,PG-13,"['Adventure', 'Drama', 'Fantasy']",,6.5,51.0,104 min,Mowgli: Legend of the Jungle,42141.0,2018
118,PG-13,"['Biography', 'Drama']",2294915.0,6.9,78.0,111 min,At Eternity's Gate,13119.0,2018
119,R,"['Biography', 'Crime', 'Drama']",4343227.0,4.8,24.0,112 min,Gotti,9412.0,2018
120,R,"['Comedy', 'Drama']",7362439.0,7.4,66.0,85 min,Mid90s,16911.0,2018
121,TV-MA,"['Biography', 'Drama', 'History']",,6.7,,110 min,El fotógrafo de Mauthausen,2981.0,2018
122,R,"['Action', 'Crime', 'Thriller']",102084362.0,6.7,50.0,121 min,The Equalizer 2,88395.0,2018
123,PG-13,['Comedy'],52856061.0,5.5,46.0,105 min,Life of the Party,24024.0,2018
124,PG,"['Animation', 'Comedy', 'Family']",270620950.0,6.3,51.0,86 min,The Grinch,26891.0,2018
125,R,"['Action', 'Crime', 'Drama']",35418723.0,6.5,29.0,101 min,Peppermint,32123.0,2018
126,R,"['Action', 'Biography', 'Drama']",,7.0,59.0,121 min,Outlaw King,42222.0,2018
127,R,"['Biography', 'Drama', 'War']",1633208.0,6.7,75.0,110 min,A Private War,7677.0,2018
128,,"['Adventure', 'Horror']",,8.3,,104 min,Lad de døde hvile,53.0,2018
129,Not Rated,"['Adventure', 'Comedy', 'Drama']",,6.5,56.0,132 min,The Man Who Killed Don Quixote,6234.0,2018
130,R,"['Action', 'Adventure', 'Thriller']",36108758.0,6.1,38.0,94 min,Mile 22,43986.0,2018
131,PG-13,"['Comedy', 'Drama', 'Romance']",40826341.0,7.6,72.0,110 min,"Love, Simon",77703.0,2018
132,R,"['Comedy', 'Drama']",13539709.0,7.5,90.0,93 min,Eighth Grade,37924.0,2018
133,PG-13,"['Comedy', 'Drama', 'Musical']",,6.7,53.0,110 min,Dumplin',17143.0,2018
134,PG-13,"['Drama', 'Music']",,6.1,54.0,92 min,Teen Spirit,176.0,2018
135,PG,"['Animation', 'Adventure', 'Comedy']",167510016.0,6.3,54.0,97 min,Hotel Transylvania 3: Summer Vacation,39056.0,2018
136,R,"['Comedy', 'Fantasy', 'Sci-Fi']",17493096.0,7.0,80.0,111 min,Sorry to Bother You,36511.0,2018
137,PG-13,"['Animation', 'Adventure', 'Comedy']",32015231.0,7.9,82.0,101 min,Isle of Dogs,102022.0,2018
138,R,"['Biography', 'Drama']",,6.5,54.0,127 min,The White Crow,326.0,2018
139,PG-13,"['Crime', 'Drama']",29719483.0,7.2,81.0,133 min,The Hate U Give,14940.0,2018
140,R,"['Drama', 'Romance', 'Thriller']",100407760.0,4.5,31.0,105 min,Fifty Shades Freed,42014.0,2018
141,R,['Comedy'],59839515.0,6.2,69.0,102 min,Blockers,53919.0,2018
142,,['Comedy'],,7.7,,,Making Babies,42.0,2018
143,R,"['Crime', 'Mystery', 'Thriller']",,5.8,66.0,107 min,The Vanishing,5776.0,2018
144,PG-13,"['Action', 'Sci-Fi', 'Thriller']",58032443.0,6.2,50.0,143 min,Maze Runner: The Death Cure,87526.0,2018
145,Unrated,"['Drama', 'Mystery']",1251044.0,5.9,,97 min,An Interview with God,1335.0,2018
146,PG,"['Animation', 'Action', 'Adventure']",30712119.0,8.1,59.0,100 min,Dragon Ball Super: Broly,14425.0,2018
147,TV-MA,"['Horror', 'Mystery', 'Sci-Fi']",,4.8,,91 min,Await Further Instructions,3742.0,2018
148,PG-13,"['Biography', 'Drama', 'Fantasy']",25091816.0,5.4,28.0,99 min,Winchester,23142.0,2018
149,TV-14,"['Action', 'Drama']",,7.6,,115 min,Paskal: The Movie,2010.0,2018
150,R,"['Comedy', 'Crime', 'Drama']",,6.8,,92 min,Stockholm,157.0,2018
151,TV-MA,"['Drama', 'Fantasy', 'Horror']",,6.3,62.0,130 min,Apostle,27175.0,2018
152,R,['Drama'],13846.0,6.7,68.0,142 min,Napszállta,1427.0,2018
153,R,"['Comedy', 'Drama', 'Mystery']",9227130.0,7.0,75.0,95 min,Tully,38388.0,2018
154,TV-MA,"['Comedy', 'Thriller']",,5.7,41.0,85 min,Arizona,4017.0,2018
155,PG,"['Biography', 'Drama', 'Family']",83482352.0,7.4,30.0,110 min,I Can Only Imagine,10721.0,2018
156,R,"['Drama', 'Romance']",4102648.0,6.5,21.0,117 min,Life Itself,7930.0,2018
157,PG-13,"['Comedy', 'Sport']",42469946.0,5.7,57.0,103 min,Uncle Drew,8931.0,2018
158,Not Rated,"['Crime', 'Thriller']",1193046.0,8.5,,139 min,Andhadhun,37923.0,2018
159,PG,['Drama'],6046104.0,7.2,88.0,109 min,Leave No Trace,30459.0,2018
160,R,['Drama'],,5.8,47.0,120 min,Mary Magdalene,5347.0,2018
161,TV-MA,"['Drama', 'Mystery', 'Sci-Fi']",,7.3,,90 min,Black Mirror: Bandersnatch,85173.0,2018
162,R,"['Action', 'Drama', 'History']",45495662.0,6.6,54.0,130 min,12 Strong,47693.0,2018
163,PG,"['Action', 'Adventure', 'Comedy']",4280890.0,6.2,39.0,89 min,Johnny English Strikes Again,43056.0,2018
164,R,"['Action', 'Adventure', 'Comedy']",33562069.0,6.0,52.0,117 min,The Spy Who Dumped Me,43333.0,2018
165,,['Drama'],,6.4,28.0,123 min,The Death and Life of John F. Donovan,658.0,2018
166,PG-13,"['Action', 'Adventure', 'Sci-Fi']",59185715.0,5.6,44.0,111 min,Pacific Rim: Uprising,85669.0,2018
167,PG-13,"['Adventure', 'Drama', 'Family']",35851379.0,6.7,63.0,96 min,Alpha,37794.0,2018
168,TV-MA,"['Horror', 'Thriller']",,6.3,,103 min,Look Away,8987.0,2018
169,R,"['Drama', 'History', 'Thriller']",1076261.0,7.7,69.0,188 min,Werk ohne Autor,2586.0,2018
170,TV-MA,"['Adventure', 'Drama', 'Horror']",,5.6,63.0,125 min,Hold the Dark,25324.0,2018
171,Not Rated,['Drama'],904703.0,6.6,69.0,91 min,The Miseducation of Cameron Post,10812.0,2018
172,,['Drama'],,7.1,77.0,99 min,Sauvage,1214.0,2018
173,R,"['Drama', 'Romance', 'Thriller']",43549096.0,5.7,32.0,120 min,Acrimony,5376.0,2018
174,TV-14,"['Drama', 'History', 'Romance']",,7.4,65.0,124 min,The Guernsey Literary and Potato Peel Pie Society,20733.0,2018
175,R,"['Action', 'Drama', 'Sci-Fi']",,4.1,,100 min,The Last Man,455.0,2018
176,,"['Drama', 'Sci-Fi']",,6.1,,89 min,White Chamber,49.0,2018
177,R,"['Crime', 'Drama']",24011188.0,6.5,59.0,111 min,White Boy Rick,13400.0,2018
178,PG,"['Comedy', 'Family', 'Fantasy']",68549695.0,6.1,57.0,105 min,The House with a Clock in Its Walls,30000.0,2018
179,PG-13,"['Drama', 'History']",,6.5,70.0,154 min,Peterloo,1357.0,2018
180,PG,"['Adventure', 'Family', 'Fantasy']",100478608.0,4.2,53.0,109 min,A Wrinkle in Time,33724.0,2018
181,PG-13,"['Action', 'Mystery', 'Thriller']",36343858.0,6.3,56.0,105 min,The Commuter,79585.0,2018
182,R,"['Comedy', 'Romance']",990230.0,5.7,28.0,102 min,Little Italy,5033.0,2018
183,R,"['Drama', 'Fantasy', 'Horror']",,5.5,58.0,92 min,Wildling,7922.0,2018
184,,"['Action', 'Comedy', 'Romance']",,5.4,30.0,100 min,Blue Iguana,1194.0,2018
185,PG-13,"['Drama', 'Fantasy', 'Romance']",6102076.0,6.4,52.0,97 min,Every Day,12177.0,2018
186,,"['Drama', 'Mystery', 'Thriller']",,7.9,,90 min,We Have Always Lived in the Castle,79.0,2018
187,PG-13,"['Horror', 'Mystery', 'Thriller']",30569484.0,3.2,30.0,93 min,Slender Man,17457.0,2018
188,,"['Comedy', 'Drama']",,7.1,82.0,92 min,Thunder Road,6765.0,2018
189,PG-13,['Comedy'],77339130.0,5.6,43.0,111 min,Night School,20210.0,2018
190,PG-13,['Drama'],,6.4,,122 min,The Public,228.0,2018
191,PG,"['Animation', 'Adventure', 'Comedy']",83240103.0,6.7,60.0,96 min,Smallfoot,20841.0,2018
192,R,"['Biography', 'Drama', 'History']",2000105.0,6.2,61.0,113 min,The Front Runner,5044.0,2018
193,R,"['Drama', 'Horror', 'Mystery']",7732899.0,6.4,63.0,98 min,Unsane,30165.0,2018
194,R,"['Crime', 'Drama']",,5.5,47.0,108 min,King of Thieves,5876.0,2018
195,,"['Crime', 'Drama', 'Thriller']",,7.3,75.0,103 min,Dogman,11445.0,2018
196,PG-13,"['Biography', 'Drama', 'History']",17612099.0,6.5,58.0,122 min,Operation Finale,19206.0,2018
197,,"['Action', 'Thriller']",,7.0,69.0,121 min,The Night Comes for Us,13216.0,2018
198,,"['Action', 'Drama', 'War']",,7.1,88.0,116 min,Shadow,2073.0,2018
199,TV-MA,"['Action', 'Adventure', 'Drama']",,5.0,36.0,113 min,How It Ends,34981.0,2018
200,PG-13,"['Action', 'Adventure', 'Biography']",31445012.0,6.6,56.0,96 min,Adrift,31439.0,2018
201,R,"['Crime', 'Drama', 'History']",,6.7,69.0,143 min,22 July,18368.0,2018
202,,"['Action', 'Comedy', 'Horror']",,5.5,,84 min,Book of Monsters,334.0,2018
203,R,"['Crime', 'Drama', 'Mystery']",,6.5,64.0,91 min,A Vigilante,112.0,2018
204,Not Rated,"['Crime', 'Drama', 'Thriller']",,5.3,27.0,95 min,Terminal,13646.0,2018
205,R,"['Comedy', 'Crime', 'Drama']",4333394.0,7.4,77.0,95 min,Blindspotting,15056.0,2018
206,TV-14,"['Comedy', 'Fantasy', 'Romance']",,6.4,36.0,97 min,When We First Met,33503.0,2018
207,PG-13,"['Horror', 'Thriller']",40717020.0,5.1,35.0,100 min,Truth or Dare,31288.0,2018
208,TV-14,['Comedy'],17521754.0,5.3,45.0,95 min,Summer '03,1129.0,2018
209,,"['Action', 'Comedy']",,7.5,,134 min,Mard Ko Dard Nahin Hota,738.0,2018
210,TV-MA,"['Comedy', 'Drama']",,5.5,51.0,92 min,In a Relationship,1052.0,2018
211,Not Rated,"['Adventure', 'Drama', 'Sci-Fi']",,5.6,50.0,98 min,The Man Who Killed Hitler and Then The Bigfoot,3050.0,2018
212,TV-MA,"['Action', 'Comedy', 'Drama']",,6.3,38.0,90 min,Dead in a Week: Or Your Money Back,2276.0,2018
213,PG-13,"['Drama', 'Romance']",9561064.0,6.6,38.0,91 min,Midnight Sun,14954.0,2018
214,Not Rated,"['Action', 'Drama', 'War']",,5.9,,107 min,Mission of Honor,2067.0,2018
215,Unrated,"['Drama', 'Horror', 'Mystery']",8208.0,6.5,59.0,109 min,The Clovehitch Killer,7209.0,2018
216,TV-MA,"['Mystery', 'Sci-Fi', 'Thriller']",,5.4,35.0,126 min,Mute,24523.0,2018
217,PG-13,"['Drama', 'Horror', 'Mystery']",,5.6,37.0,102 min,The Cloverfield Paradox,80897.0,2018
218,PG,"['Adventure', 'Drama', 'Fantasy']",147000.0,4.2,,85 min,The Little Mermaid,5681.0,2018
219,R,"['Action', 'Western']",,4.2,42.0,126 min,Big Kill,106.0,2018
220,R,"['Action', 'Crime', 'Drama']",6708147.0,6.1,58.0,94 min,Hotel Artemis,27119.0,2018
221,,"['Drama', 'Thriller']",,5.5,31.0,100 min,Josie,1960.0,2018
222,PG,"['Animation', 'Adventure', 'Comedy']",115253424.0,6.6,51.0,95 min,Peter Rabbit,26580.0,2018
223,,"['Drama', 'Romance']",128581.0,7.1,85.0,136 min,Jiang hu er nü,1943.0,2018
224,R,"['Comedy', 'Crime', 'Mystery']",30617396.0,6.1,41.0,99 min,Super Troopers 2,18780.0,2018
225,TV-MA,"['Action', 'Drama', 'Sci-Fi']",,5.8,40.0,95 min,Extinction,35876.0,2018
226,Not Rated,"['Crime', 'Mystery', 'Thriller']",,7.5,,119 min,Journal 64,3498.0,2018
227,PG-13,"['Action', 'Crime', 'Drama']",46383120.0,5.4,42.0,88 min,Breaking In,9254.0,2018
228,R,['Comedy'],,7.9,,85 min,Benjamin,106.0,2018
229,R,"['Comedy', 'Drama', 'Music']",3444895.0,6.6,67.0,97 min,"Juliet, Naked",9990.0,2018
230,TV-14,"['Drama', 'Romance']",,7.1,,109 min,Mademoiselle de Joncquières,910.0,2018
231,PG,"['Action', 'Adventure', 'Family']",6501381.0,5.2,29.0,98 min,A-X-L,5762.0,2018
232,R,"['Biography', 'Drama', 'Thriller']",,5.6,30.0,108 min,Billionaire Boys Club,7350.0,2018
233,R,['Drama'],132143.0,7.3,66.0,93 min,Giant Little Ones,461.0,2018
234,TV-MA,['Comedy'],,5.3,,102 min,Budapest,1187.0,2018
235,PG-13,"['Comedy', 'Romance']",50316123.0,5.9,42.0,112 min,Overboard,23112.0,2018
236,PG,"['Animation', 'Action', 'Comedy']",29562341.0,6.8,69.0,84 min,Teen Titans Go! To the Movies,11413.0,2018
237,R,"['Biography', 'Crime', 'Drama']",,5.8,49.0,104 min,Charlie Says,136.0,2018
238,,"['Crime', 'Drama', 'Mystery']",11719.0,4.8,48.0,109 min,Out of Blue,262.0,2018
239,PG,"['Drama', 'Music', 'Romance']",16376066.0,6.7,36.0,108 min,Forever My Girl,9358.0,2018
240,R,"['Biography', 'Comedy', 'Drama']",1441705.0,6.9,67.0,114 min,"Don't Worry, He Won't Get Far on Foot",12833.0,2018
241,,['Drama'],445926.0,7.9,86.0,125 min,Pájaros de verano,2910.0,2018
242,PG,"['Animation', 'Adventure', 'Comedy']",43242871.0,5.1,36.0,86 min,Sherlock Gnomes,7543.0,2018
243,,"['Drama', 'Romance']",,5.0,,106 min,Tell It to the Bees,144.0,2018
244,R,"['Crime', 'Drama']",,3.7,,92 min,Backtrace,1453.0,2018
245,TV-MA,['Drama'],,6.1,,103 min,Tu hijo,1519.0,2018
246,R,['Drama'],2032018.0,6.8,66.0,103 min,Puzzle,3146.0,2018
247,R,"['Horror', 'Thriller']",,5.2,,89 min,He's Out There,3827.0,2018
248,,"['Biography', 'Drama', 'Romance']",,7.0,,120 min,Trautmann,196.0,2018
249,Not Rated,"['Comedy', 'Horror']",,5.4,52.0,90 min,Puppet Master: The Littlest Reich,2132.0,2018
250,PG-13,"['Comedy', 'Drama', 'Romance']",68566296.0,6.1,53.0,104 min,Book Club,17005.0,2018
251,R,"['Fantasy', 'Thriller']",,5.0,24.0,90 min,Between Worlds,3547.0,2018
252,,['Drama'],390078.0,7.0,83.0,101 min,Transit,2565.0,2018
253,,"['Biography', 'Drama']",,6.2,,120 min,Skin,227.0,2018
254,PG,"['Adventure', 'Comedy', 'Family']",46700633.0,5.6,53.0,90 min,Goosebumps 2: Haunted Halloween,9773.0,2018
