,certificate,genre,gross,imdb_rating,metascore,runtime,title,votes,year
62,,"['Biography', 'Drama', 'Mystery']",,7.9,,124 min,The Professor and the Madman,274.0,['2019']
63,,['Action'],,4.6,,92 min,The Hard Way,731.0,['2019']
64,PG-13,"['Biography', 'Drama']",,,,,Tolkien,,['2019']
65,,"['Drama', 'Horror', 'Mystery']",,,,,Midsommar,,['2019']
66,PG,"['Adventure', 'Drama', 'Family']",41952715.0,6.6,50.0,96 min,A Dog's Way Home,3079.0,['2019']
67,,"['Animation', 'Action', 'Adventure']",,,,,Sonic the Hedgehog,,['2019']
68,R,"['Biography', 'Drama', 'Western']",1376796.0,6.5,51.0,100 min,The Kid,453.0,['2019']
69,,['Horror'],,,,,Child's Play,,['2019']
70,R,"['Horror', 'Mystery', 'Thriller']",,5.7,61.0,113 min,Velvet Buzzsaw,35779.0,['2019']
71,PG,"['Crime', 'Drama', 'Family']",,5.9,55.0,89 min,Nancy Drew and the Hidden Staircase,287.0,['2019']
72,,['Comedy'],,6.4,86.0,105 min,Booksmart,99.0,['2019']
73,,"['Action', 'Biography', 'Drama']",,,,,Ip Man 4,,['2019']
74,PG,"['Action', 'Adventure', 'Family']",16781373.0,6.3,66.0,120 min,The Kid Who Would Be King,3357.0,['2019']
75,,"['Adventure', 'Drama', 'Mystery']",,,,,Ad Astra,,['2019']
76,PG-13,"['Comedy', 'Drama', 'Fantasy']",,,,112 min,Yesterday,,['2019']
77,,"['Adventure', 'Family', 'Fantasy']",,,,,Maleficent: Mistress of Evil,,['2019']
78,PG-13,"['Comedy', 'Fantasy']",,,,,Little,,['2019']
79,,"['Action', 'Horror', 'Sci-Fi']",,,,,The New Mutants,,['2019']
80,Not Rated,"['Action', 'Drama', 'War']",4185825.0,8.8,,138 min,Uri: The Surgical Strike,26457.0,['2019']
81,R,"['Horror', 'Thriller']",14830814.0,6.0,45.0,92 min,The Prodigy,3931.0,['2019']
82,R,['Drama'],363780.0,7.5,76.0,96 min,The Mustang,240.0,['2019']
83,PG,"['Animation', 'Adventure', 'Comedy']",,,,95 min,Missing Link,,['2019']
84,R,"['Horror', 'Thriller']",,,,,Ma,,['2019']
85,R,"['Drama', 'Horror', 'Thriller']",,,,,The Haunting of Sharon Tate,,['2019']
86,TV-PG,['Drama'],,6.4,,100 min,Walk. Ride. Rodeo.,765.0,['2019']
87,R,['Comedy'],6939206.0,5.2,,102 min,No Manches Frida 2,80.0,['2019']
88,R,['Horror'],21072.0,5.7,63.0,90 min,The Hole in the Ground,3130.0,['2019']
89,PG,"['Biography', 'Drama']",,,,116 min,Breakthrough,,['2019']
90,PG-13,['Comedy'],,,,,The Hustle,,['2019']
91,,"['Animation', 'Adventure', 'Comedy']",,,,,Frozen II,,['2019']
92,TV-MA,['Drama'],,6.1,,90 min,Juanita,1186.0,['2019']
93,,['Horror'],,,,,Charles,,['2019']
94,TV-14,"['Adventure', 'Drama', 'Romance']",,4.7,40.0,96 min,IO,22704.0,['2019']
95,,"['Drama', 'Romance']",,,,,Little Women,,['2019']
96,,"['Action', 'Adventure', 'Comedy']",,,,,Charlie's Angels,,['2019']
97,,['Adventure'],,8.8,69.0,93 min,The Peanut Butter Falcon,68.0,['2019']
98,PG-13,"['Animation', 'Fantasy', 'Sci-Fi']",,,,,Justice League vs. the Fatal Five,,['2019']
99,TV-MA,"['Action', 'Thriller']",,5.6,51.0,94 min,Close,12711.0,['2019']
100,PG-13,"['Biography', 'Drama', 'History']",,,,,The Best of Enemies,,['2019']
101,,['Drama'],,,,,Downton Abbey,,['2019']
102,,"['Animation', 'Comedy', 'Family']",,,,,The Addams Family,,['2019']
103,,"['Adventure', 'Family', 'Fantasy']",,,,,Artemis Fowl,,['2019']
104,,"['Action', 'Adventure', 'Comedy']",,,,,Untitled Jumanji: Welcome to the Jungle Sequel,,['2019']
105,R,['Drama'],,,,,The Goldfinch,,['2019']
106,,"['Biography', 'Drama']",,,,,A Beautiful Day in the Neighborhood,,['2019']
107,R,['Comedy'],,7.3,81.0,104 min,The Art of Self-Defense,58.0,['2019']
108,,['Sci-Fi'],2187482.0,7.3,62.0,125 min,Liu Lang Di Qiu,7084.0,['2019']
109,PG-13,"['Drama', 'Romance']",,6.7,72.0,110 min,Photograph,276.0,['2019']
110,,"['Comedy', 'Drama', 'Fantasy']",,,,,Cats,,['2019']
111,,['Horror'],,,,,3 from Hell,,['2019']
112,,"['Comedy', 'Drama']",,6.4,70.0,100 min,Late Night,150.0,['2019']
113,,"['Biography', 'Drama', 'History']",,,,,The King,,['2019']
114,R,"['Action', 'Crime']",,,,,Shaft,,['2019']
115,,['Drama'],,8.0,,113 min,Dolor y gloria,428.0,['2019']
116,,"['Drama', 'Horror', 'Mystery']",,3.7,,91 min,BOO!,192.0,['2019']
117,PG,"['Animation', 'Adventure', 'Comedy']",,,,,The Secret Life of Pets 2,,['2019']
118,,"['Drama', 'History', 'Romance']",,,,,Kalank,,['2019']
119,Not Rated,"['Drama', 'Music']",5483227.0,8.5,65.0,153 min,Gully Boy,11186.0,['2019']
120,TV-MA,['Drama'],,7.2,70.0,89 min,Paddleton,4343.0,['2019']
121,,"['Horror', 'Thriller']",,5.3,,101 min,The Russian Bride,253.0,['2019']
122,,['Comedy'],,5.7,,95 min,The Revenger: An Unromantic Comedy,119.0,['2019']
123,,"['Action', 'Sci-Fi']",,4.4,,,Abduction,196.0,['2019']
124,,['Action'],,3.4,,93 min,The Glorious Seven,128.0,['2019']
125,,"['Crime', 'Drama', 'Mystery']",,,,,The Woman in the Window,,['2019']
126,,"['Horror', 'Mystery', 'Thriller']",,,,,Annabelle Comes Home,,['2019']
127,,"['Action', 'Adventure', 'Comedy']",,5.4,,90 min,Iron Sky: The Coming Race,681.0,['2019']
128,PG-13,"['Drama', 'Thriller']",,,,,The Intruder,,['2019']
129,,['Horror'],,,,,Scary Stories to Tell in the Dark,,['2019']
130,,['Family'],,,,,A Dog's Journey,,['2019']
131,Not Rated,"['Action', 'Comedy', 'Thriller']",,4.4,,88 min,Welcome to Acapulco,139.0,['2019']
132,R,['Drama'],,5.7,,92 min,We Die Young,888.0,['2019']
133,,"['Comedy', 'Drama']",,,,96 min,Zeroville,,['2019']
134,,"['Crime', 'Drama']",,,,113 min,The Informer,,['2019']
135,,"['Action', 'Comedy']",,7.1,,,Stuber,49.0,['2019']
136,,['Drama'],,7.6,79.0,120 min,The Last Black Man in San Francisco,65.0,['2019']
137,Not Rated,"['Comedy', 'Romance']",1011207.0,6.5,,126 min,Luka Chuppi,2398.0,['2019']
138,,"['Action', 'Thriller']",,,,,6 Underground,,['2019']
139,,"['Drama', 'Thriller']",,,,,Dreamland,,['2019']
140,,['Animation'],,5.7,,92 min,The Queen's Corgi,345.0,['2019']
141,,"['Action', 'Biography', 'Drama']",,,,,Ford v. Ferrari,,['2019']
142,R,"['Action', 'Drama', 'Sport']",,4.7,34.0,87 min,Trading Paint,465.0,['2019']
143,R,"['Crime', 'Drama', 'Thriller']",,,,,Crypto,,['2019']
144,,['Drama'],,6.6,64.0,108 min,Native Son,82.0,['2019']
145,,"['Comedy', 'Drama', 'War']",,,,,Jojo Rabbit,,['2019']
146,,"['Animation', 'Action', 'Adventure']",,,,,Spies in Disguise,,['2019']
147,Not Rated,"['Action', 'Adventure', 'Comedy']",2167632.0,5.0,,130 min,Total Dhamaal,2613.0,['2019']
148,Not Rated,"['Action', 'Horror', 'Thriller']",,2.2,,96 min,Among the Shadows,271.0,['2019']
149,,"['Comedy', 'Horror']",,6.7,59.0,94 min,Little Monsters,116.0,['2019']
150,PG,"['Comedy', 'Drama']",,,,,The Art of Racing in the Rain,,['2019']
151,,"['Action', 'Drama', 'Sci-Fi']",,,,,Gemini Man,,['2019']
152,,"['Action', 'Crime', 'Thriller']",,,,,Above Suspicion,,['2019']
153,,"['Action', 'Drama', 'Thriller']",,,,,Angel Has Fallen,,['2019']
154,,"['Crime', 'Drama', 'Mystery']",,,,,Knives Out,,['2019']
155,,"['Animation', 'Action', 'Adventure']",,,,,The Angry Birds Movie 2,,['2019']
156,R,"['Action', 'Crime', 'Drama']",,,,,The Kitchen,,['2019']
157,,"['Animation', 'Adventure', 'Comedy']",,,,,UglyDolls,,['2019']
158,R,"['Sci-Fi', 'Thriller']",,,,95 min,Life Like,,['2019']
159,R,"['Comedy', 'Romance']",,,,92 min,Someone Great,,['2019']
160,R,['Thriller'],,7.3,55.0,98 min,Them That Follow,75.0,['2019']
161,PG,"['Comedy', 'Romance']",103764.0,5.8,,106 min,"Faith, Hope & Love",22.0,['2019']
162,,['Comedy'],1548816.0,7.3,,111 min,Geukhanjikeob,737.0,['2019']
163,PG-13,"['Animation', 'Action', 'Adventure']",,,,,Batman vs. Teenage Mutant Ninja Turtles,,['2019']
164,,['Horror'],,,,,Doctor Sleep,,['2019']
165,,"['Crime', 'Drama', 'Mystery']",,,,,Wonderland,,['2019']
166,,"['Drama', 'History', 'War']",,6.6,,120 min,Türk Isi Dondurma,564.0,['2019']
167,R,['Action'],,,,,Escape Plan: The Extractors,,['2019']
168,PG-13,"['Action', 'Drama', 'Thriller']",15006824.0,5.1,41.0,104 min,Miss Bala,1453.0,['2019']
169,R,"['Crime', 'Drama']",,,,,Motherless Brooklyn,,['2019']
170,R,"['Drama', 'Horror', 'Mystery']",,6.5,50.0,94 min,Wounds,89.0,['2019']
171,,"['Drama', 'Sci-Fi']",,7.1,,87 min,The Last Boy,4432.0,['2019']
172,,"['Action', 'Comedy', 'Drama']",,,,,Murder Mystery,,['2019']
173,TV-MA,"['Action', 'Crime', 'Fantasy']",,,,89 min,Stray,,['2019']
174,R,"['Drama', 'Romance']",,4.3,34.0,120 min,"Berlin, I Love You",447.0,['2019']
175,,['Drama'],,8.4,,137 min,Chaal Jeevi Laiye,241.0,['2019']
176,,"['Comedy', 'Romance']",,,,,Last Christmas,,['2019']
177,PG-13,"['Drama', 'Romance']",,,,,The Sun Is Also a Star,,['2019']
178,PG-13,"['Comedy', 'Drama']",,,,,"Where'd You Go, Bernadette",,['2019']
179,,"['Drama', 'Mystery', 'Romance']",,7.0,95.0,119 min,The Souvenir,125.0,['2019']
180,,['Drama'],,6.9,64.0,93 min,Honey Boy,160.0,['2019']
181,,['Drama'],,7.8,79.0,118 min,The Report,95.0,['2019']
182,PG-13,"['Drama', 'Romance']",,6.4,,94 min,The Tomorrow Man,56.0,['2019']
183,,"['Adventure', 'Fantasy']",,,,,The Mystery of Dragon Seal: The Journey to China,,['2019']
184,TV-MA,"['Drama', 'Sport']",,6.3,78.0,90 min,High Flying Bird,4105.0,['2019']
185,,"['Action', 'Crime']",,,,90 min,Avengement,,['2019']
186,,"['Action', 'Drama', 'History']",,,,,Midway,,['2019']
187,,"['Action', 'Drama', 'History']",,,,,Medieval,,['2019']
