,certificate,genre,gross,imdb_rating,metascore,runtime,title,votes,year
0,PG,"['Animation', 'Action', 'Adventure']",189901576.0,8.5,87.0,117 min,Spider-Man: Into the Spider-Verse,160484.0,['2018']
1,PG-13,"['Action', 'Adventure', 'Fantasy']",334798862.0,7.2,55.0,143 min,Aquaman,211032.0,['2018']
2,R,"['Crime', 'Drama', 'Thriller']",103804407.0,7.1,58.0,116 min,The Mule,32469.0,['2018']
3,PG-13,"['Biography', 'Comedy', 'Drama']",83956251.0,8.3,69.0,130 min,Green Book,158362.0,['2018']
4,PG-13,"['Biography', 'Drama', 'Music']",215956725.0,8.1,49.0,134 min,Bohemian Rhapsody,310806.0,['2018']
5,PG-13,"['Adventure', 'Family', 'Fantasy']",159555901.0,6.7,52.0,134 min,Fantastic Beasts: The Crimes of Grindelwald,144287.0,['2018']
6,PG-13,"['Action', 'Adventure', 'Sci-Fi']",678815482.0,8.5,68.0,149 min,Avengers: Infinity War,609381.0,['2018']
7,PG-13,"['Action', 'Adventure', 'Sci-Fi']",127195589.0,7.0,66.0,114 min,Bumblebee,65935.0,['2018']
8,R,"['Drama', 'Music', 'Romance']",215242894.0,7.8,88.0,136 min,A Star Is Born,223703.0,['2018']
9,R,"['Action', 'Crime', 'Drama']",,7.4,63.0,159 min,Dragged Across Concrete,4312.0,['2018']
10,PG,"['Comedy', 'Family', 'Fantasy']",171831491.0,7.0,66.0,130 min,Mary Poppins Returns,41098.0,['2018']
11,R,"['Biography', 'Comedy', 'Drama']",34156151.0,7.7,90.0,119 min,The Favourite,98334.0,['2018']
12,R,"['Action', 'Adventure', 'Comedy']",324591735.0,7.8,66.0,119 min,Deadpool 2,365701.0,['2018']
13,PG-13,"['Action', 'Adventure', 'Fantasy']",15951040.0,6.2,44.0,128 min,Mortal Engines,54978.0,['2018']
14,PG-13,"['Comedy', 'Drama']",67363237.0,7.4,57.0,118 min,Instant Family,33824.0,['2018']
15,R,"['Biography', 'Comedy', 'Drama']",47820735.0,7.2,61.0,132 min,Vice,53390.0,['2018']
16,PG,"['Biography', 'Comedy', 'Drama']",5392227.0,7.4,75.0,98 min,Stan & Ollie,10473.0,['2018']
17,PG-13,"['Action', 'Adventure', 'Sci-Fi']",700059566.0,7.3,88.0,134 min,Black Panther,484682.0,['2018']
18,R,"['Drama', 'History', 'Thriller']",95493.0,7.2,62.0,123 min,Hotel Mumbai,1184.0,['2018']
19,PG-13,"['Action', 'Adventure', 'Sci-Fi']",417719760.0,6.2,51.0,128 min,Jurassic World: Fallen Kingdom,206512.0,['2018']
20,PG-13,"['Drama', 'Sport']",115715889.0,7.3,66.0,130 min,Creed II,60318.0,['2018']
21,R,"['Biography', 'Crime', 'Drama']",48686605.0,7.5,83.0,135 min,BlacKkKlansman,130167.0,['2018']
22,PG,"['Animation', 'Adventure', 'Comedy']",200980260.0,7.2,71.0,111 min,Ralph Breaks the Internet,71191.0,['2018']
23,R,"['Action', 'Adventure', 'Horror']",21704844.0,6.7,60.0,110 min,Overlord,47482.0,['2018']
24,PG-13,"['Adventure', 'Comedy', 'Crime']",30573626.0,3.6,24.0,90 min,Holmes & Watson,11414.0,['2018']
25,R,"['Drama', 'Horror', 'Music']",733364.0,7.3,67.0,97 min,Climax,19216.0,['2018']
26,PG,"['Animation', 'Adventure', 'Comedy']",99215042.0,7.4,60.0,104 min,Christopher Robin,46981.0,['2018']
27,Not Rated,"['Action', 'Fantasy', 'Horror']",1214525.0,6.6,81.0,121 min,Mandy,40565.0,['2018']
28,R,"['Fantasy', 'Horror', 'Mystery']",2474044.0,6.9,64.0,152 min,Suspiria,29549.0,['2018']
29,R,"['Drama', 'Romance', 'Sci-Fi']",,6.4,,85 min,A.I. Rising,4687.0,['2018']
30,R,"['Drama', 'Horror', 'Mystery']",44069456.0,7.3,87.0,127 min,Hereditary,139695.0,['2018']
31,R,"['Biography', 'Drama', 'History']",16468499.0,6.3,60.0,124 min,Mary Queen of Scots,19057.0,['2018']
32,PG-13,"['Action', 'Comedy', 'Crime']",139377762.0,6.2,61.0,110 min,Ocean's 8,134424.0,['2018']
33,R,"['Crime', 'Drama', 'Thriller']",42402632.0,7.0,84.0,129 min,Widows,53499.0,['2018']
34,PG-13,"['Action', 'Adventure', 'Thriller']",30824628.0,5.3,32.0,116 min,Robin Hood,34795.0,['2018']
35,PG-13,"['Action', 'Adventure', 'Comedy']",216648740.0,7.1,70.0,118 min,Ant-Man and the Wasp,212405.0,['2018']
36,R,"['Crime', 'Romance']",,6.3,56.0,91 min,Finding Steve McQueen,671.0,['2018']
37,R,"['Comedy', 'Crime', 'Drama']",53542417.0,6.9,67.0,117 min,A Simple Favor,75448.0,['2018']
38,PG-13,"['Comedy', 'Romance']",174532921.0,7.0,74.0,120 min,Crazy Rich Asians,84898.0,['2018']
39,PG-13,"['Action', 'Sci-Fi', 'Thriller']",213515506.0,6.8,35.0,112 min,Venom,251022.0,['2018']
40,R,"['Action', 'Horror', 'Sci-Fi']",69086325.0,5.1,54.0,98 min,The First Purge,38369.0,['2018']
41,R,"['Drama', 'Horror', 'Sci-Fi']",,6.7,51.0,124 min,Bird Box,200873.0,['2018']
42,PG-13,"['Action', 'Drama', 'History']",,6.5,53.0,117 min,Kursk,4269.0,['2018']
43,,"['Action', 'Crime']",,6.6,,107 min,Ye wen wai zhuan: Zhang tian zhi,1480.0,['2018']
44,PG-13,"['Biography', 'Drama', 'History']",44936545.0,7.4,84.0,141 min,First Man,108878.0,['2018']
45,PG-13,"['Action', 'Adventure', 'Fantasy']",213767512.0,7.0,62.0,135 min,Solo: A Star Wars Story,213306.0,['2018']
46,PG-13,"['Action', 'Adventure', 'Sci-Fi']",137690172.0,7.5,64.0,140 min,Ready Player One,289136.0,['2018']
47,R,['Drama'],,7.8,96.0,135 min,Roma,98412.0,['2018']
48,R,"['Crime', 'Drama', 'Mystery']",17839115.0,7.1,60.0,141 min,Bad Times at the El Royale,75221.0,['2018']
49,R,['Comedy'],54547470.0,6.6,56.0,100 min,Tag,76443.0,['2018']
50,R,"['Action', 'Crime', 'Drama']",1533324.0,6.5,62.0,121 min,Destroyer,6255.0,['2018']
51,R,"['Comedy', 'Drama', 'Musical']",,7.3,79.0,133 min,The Ballad of Buster Scruggs,80007.0,['2018']
52,R,"['Drama', 'Horror', 'Mystery']",10435945.0,6.2,53.0,98 min,Greta,3059.0,['2018']
53,PG,"['Animation', 'Action', 'Adventure']",608581744.0,7.7,80.0,118 min,Incredibles 2,189307.0,['2018']
54,PG-13,"['Action', 'Drama', 'Thriller']",6235.0,6.2,70.0,106 min,Skjelvet,4198.0,['2018']
55,R,"['Adventure', 'Drama', 'Horror']",32732301.0,6.9,79.0,115 min,Annihilation,218806.0,['2018']
56,R,['Drama'],,7.2,73.0,105 min,Girl,5499.0,['2018']
57,PG-13,"['Drama', 'Horror', 'Mystery']",188024361.0,7.6,82.0,90 min,A Quiet Place,286758.0,['2018']
58,R,"['Drama', 'Romance']",14886895.0,7.3,87.0,119 min,If Beale Street Could Talk,19404.0,['2018']
59,PG-13,"['Comedy', 'Drama', 'Romance']",39282227.0,5.8,46.0,103 min,Second Act,9116.0,['2018']
60,R,"['Drama', 'Music', 'Romance']",4557943.0,7.7,90.0,89 min,Cold War,29405.0,['2018']
61,PG-13,"['Action', 'Adventure', 'Thriller']",220159104.0,7.8,86.0,147 min,Mission: Impossible - Fallout,221955.0,['2018']
62,R,['Drama'],1564811.0,8.4,75.0,126 min,Capharnaüm,12358.0,['2018']
63,R,"['Action', 'Comedy', 'Crime']",1959204.0,5.9,56.0,108 min,Assassination Nation,7580.0,['2018']
64,R,"['Comedy', 'Drama', 'Romance']",2504663.0,6.8,80.0,102 min,Gloria Bell,946.0,['2018']
65,TV-MA,"['Drama', 'Romance', 'Thriller']",,7.6,,128 min,Durante la tormenta,4513.0,['2018']
66,,['Sci-Fi'],,5.9,46.0,102 min,Level 16,1051.0,['2018']
67,PG-13,"['Drama', 'Mystery', 'Thriller']",26020957.0,7.7,71.0,102 min,Searching,87043.0,['2018']
68,R,"['Crime', 'Drama', 'Mystery']",2565331.0,7.0,68.0,133 min,Everybody Knows,14790.0,['2018']
69,R,"['Action', 'Crime', 'Drama']",14841338.0,6.1,43.0,117 min,The Girl in the Spider's Web,23766.0,['2018']
70,R,"['Crime', 'Drama', 'Horror']",87008.0,6.9,42.0,152 min,The House That Jack Built,30348.0,['2018']
71,R,"['Action', 'Thriller']",15767460.0,6.6,43.0,122 min,Hunter Killer,29260.0,['2018']
72,R,"['Adventure', 'Comedy', 'Crime']",3143056.0,7.0,78.0,122 min,The Sisters Brothers,25291.0,['2018']
73,R,['Drama'],3703184.0,6.8,66.0,103 min,Ben Is Back,7221.0,['2018']
74,R,"['Biography', 'Drama', 'Horror']",253184.0,6.5,47.0,118 min,Lords of Chaos,3888.0,['2018']
75,R,"['Comedy', 'Crime', 'Drama']",,6.3,61.0,139 min,Under the Silver Lake,12315.0,['2018']
76,R,"['Biography', 'Comedy', 'Crime']",8803865.0,7.2,87.0,106 min,Can You Ever Forgive Me?,23719.0,['2018']
77,R,"['Crime', 'Mystery', 'Thriller']",252676.0,4.3,16.0,118 min,London Fields,2128.0,['2018']
78,,"['Fantasy', 'Horror']",,7.5,,72 min,The Head Hunter,69.0,['2018']
79,R,"['Drama', 'Sci-Fi', 'Thriller']",,5.6,,80 min,Chimera Strain,869.0,['2018']
80,PG-13,"['Biography', 'Drama']",24622687.0,6.7,59.0,120 min,On the Basis of Sex,6674.0,['2018']
81,R,"['Horror', 'Thriller']",159342015.0,6.7,67.0,106 min,Halloween,81422.0,['2018']
82,R,"['Biography', 'Drama']",7649973.0,7.3,62.0,120 min,Beautiful Boy,26394.0,['2018']
83,R,"['Drama', 'Music']",,6.0,65.0,134 min,Her Smell,398.0,['2018']
84,PG-13,"['Comedy', 'Musical', 'Romance']",120634935.0,6.8,60.0,114 min,Mamma Mia! Here We Go Again,54914.0,['2018']
85,R,['Thriller'],112532.0,6.7,57.0,111 min,The Hummingbird Project,543.0,['2018']
86,PG-13,['Drama'],1028993.0,7.0,80.0,105 min,Wildlife,11634.0,['2018']
87,R,"['Action', 'Crime', 'Drama']",44947622.0,7.0,49.0,140 min,Den of Thieves,66434.0,['2018']
88,TV-14,"['Comedy', 'Romance']",,6.2,,105 min,The Kissing Booth,40879.0,['2018']
89,PG-13,"['Action', 'Horror', 'Sci-Fi']",145443742.0,5.7,46.0,113 min,The Meg,102251.0,['2018']
90,PG-13,"['Adventure', 'Drama']",2259847.0,7.3,71.0,98 min,Arctic,2922.0,['2018']
91,R,"['Action', 'Adventure', 'Sci-Fi']",51024708.0,5.4,48.0,107 min,The Predator,87378.0,['2018']
92,PG-13,"['Drama', 'Sci-Fi', 'Thriller']",4046429.0,5.4,19.0,107 min,Replicas,11930.0,['2018']
93,R,"['Drama', 'Fantasy', 'Romance']",771930.0,7.1,75.0,110 min,Border,8292.0,['2018']
94,R,"['Crime', 'Drama']",3270902.0,8.1,93.0,121 min,Shoplifters,24028.0,['2018']
95,R,"['Action', 'Drama', 'Thriller']",46874505.0,6.6,53.0,140 min,Red Sparrow,131539.0,['2018']
96,R,"['Drama', 'Music']",727119.0,6.1,68.0,114 min,Vox Lux,6470.0,['2018']
97,R,"['Action', 'Comedy', 'Crime']",69001013.0,7.0,66.0,100 min,Game Night,154914.0,['2018']
98,PG-13,"['Action', 'Adventure', 'Thriller']",67796355.0,5.8,51.0,102 min,Skyscraper,74433.0,['2018']
99,R,"['Action', 'Crime', 'Drama']",50072235.0,7.1,61.0,122 min,Sicario: Day of the Soldado,87842.0,['2018']
100,R,"['Biography', 'Drama']",6788692.0,7.0,69.0,115 min,Boy Erased,15437.0,['2018']
101,R,"['Adventure', 'Drama', 'Horror']",,6.7,81.0,110 min,High Life,1672.0,['2018']
102,R,"['Action', 'Sci-Fi', 'Thriller']",11871365.0,7.6,67.0,100 min,Upgrade,96540.0,['2018']
103,R,"['Horror', 'Mystery', 'Thriller']",14837422.0,5.2,37.0,86 min,The Possession of Hannah Grace,9472.0,['2018']
104,R,"['Horror', 'Mystery', 'Thriller']",117443149.0,5.4,46.0,96 min,The Nun,81944.0,['2018']
105,PG-13,"['Comedy', 'Romance']",48795601.0,5.4,48.0,110 min,I Feel Pretty,37163.0,['2018']
106,R,"['Drama', 'Sci-Fi', 'Thriller']",,6.1,68.0,100 min,Prospect,4874.0,['2018']
107,Not Rated,"['Drama', 'Mystery']",718991.0,7.6,90.0,148 min,Burning,17553.0,['2018']
108,PG-13,"['Biography', 'Comedy', 'Crime']",11277120.0,6.8,80.0,93 min,The Old Man & the Gun,22037.0,['2018']
109,TV-14,"['Drama', 'Romance']",,7.3,64.0,99 min,To All the Boys I've Loved Before,57260.0,['2018']
110,R,"['Action', 'Crime', 'Drama']",34017028.0,6.4,31.0,107 min,Death Wish,47228.0,['2018']
111,R,"['Crime', 'Drama', 'Thriller']",207140.0,7.5,83.0,85 min,The Guilty,21322.0,['2018']
112,PG-13,"['Action', 'Adventure', 'Sci-Fi']",99345950.0,6.1,45.0,107 min,Rampage,110422.0,['2018']
113,PG-13,"['Action', 'Adventure', 'Fantasy']",57421715.0,6.3,48.0,119 min,Tomb Raider,157075.0,['2018']
114,PG,"['Adventure', 'Family', 'Fantasy']",54858851.0,5.5,39.0,99 min,The Nutcracker and the Four Realms,16301.0,['2018']
115,R,"['Biography', 'Drama', 'History']",5137622.0,6.8,74.0,111 min,Colette,10285.0,['2018']
116,R,"['Action', 'Comedy', 'Fantasy']",,5.3,,104 min,Slaughterhouse Rulez,2909.0,['2018']
117,PG-13,"['Adventure', 'Drama', 'Fantasy']",,6.5,51.0,104 min,Mowgli: Legend of the Jungle,42145.0,['2018']
118,PG-13,"['Biography', 'Drama']",2294915.0,6.9,78.0,111 min,At Eternity's Gate,13126.0,['2018']
119,R,"['Biography', 'Crime', 'Drama']",4343227.0,4.8,24.0,112 min,Gotti,9415.0,['2018']
120,R,"['Comedy', 'Drama']",7362439.0,7.4,66.0,85 min,Mid90s,16920.0,['2018']
121,TV-MA,"['Biography', 'Drama', 'History']",,6.7,,110 min,El fotógrafo de Mauthausen,2984.0,['2018']
122,R,"['Action', 'Crime', 'Thriller']",102084362.0,6.7,50.0,121 min,The Equalizer 2,88401.0,['2018']
123,PG-13,['Comedy'],52856061.0,5.5,46.0,105 min,Life of the Party,24026.0,['2018']
124,PG,"['Animation', 'Comedy', 'Family']",270620950.0,6.3,51.0,86 min,The Grinch,26898.0,['2018']
125,R,"['Action', 'Crime', 'Drama']",35418723.0,6.5,29.0,101 min,Peppermint,32129.0,['2018']
126,R,"['Action', 'Biography', 'Drama']",,7.0,59.0,121 min,Outlaw King,42226.0,['2018']
127,R,"['Biography', 'Drama', 'War']",1633208.0,6.7,75.0,110 min,A Private War,7680.0,['2018']
128,,"['Adventure', 'Horror']",,8.3,,104 min,Lad de døde hvile,53.0,['2018']
129,Not Rated,"['Adventure', 'Comedy', 'Drama']",,6.5,56.0,132 min,The Man Who Killed Don Quixote,6237.0,['2018']
130,R,"['Action', 'Adventure', 'Thriller']",36108758.0,6.1,38.0,94 min,Mile 22,43992.0,['2018']
131,PG-13,"['Comedy', 'Drama', 'Romance']",40826341.0,7.6,72.0,110 min,"Love, Simon",77706.0,['2018']
132,R,"['Comedy', 'Drama']",13539709.0,7.5,90.0,93 min,Eighth Grade,37937.0,['2018']
133,PG-13,"['Comedy', 'Drama', 'Musical']",,6.7,53.0,110 min,Dumplin',17144.0,['2018']
134,PG-13,"['Drama', 'Music']",,6.1,54.0,92 min,Teen Spirit,177.0,['2018']
135,PG,"['Animation', 'Adventure', 'Comedy']",167510016.0,6.3,54.0,97 min,Hotel Transylvania 3: Summer Vacation,39063.0,['2018']
136,R,"['Comedy', 'Fantasy', 'Sci-Fi']",17493096.0,7.0,80.0,111 min,Sorry to Bother You,36514.0,['2018']
137,PG-13,"['Animation', 'Adventure', 'Comedy']",32015231.0,7.9,82.0,101 min,Isle of Dogs,102030.0,['2018']
138,R,"['Biography', 'Drama']",,6.5,54.0,127 min,The White Crow,327.0,['2018']
139,PG-13,"['Crime', 'Drama']",29719483.0,7.2,81.0,133 min,The Hate U Give,14947.0,['2018']
140,R,"['Drama', 'Romance', 'Thriller']",100407760.0,4.5,31.0,105 min,Fifty Shades Freed,42014.0,['2018']
141,R,['Comedy'],59839515.0,6.2,69.0,102 min,Blockers,53921.0,['2018']
142,,['Comedy'],,7.7,,,Making Babies,42.0,['2018']
143,R,"['Crime', 'Mystery', 'Thriller']",,5.8,66.0,107 min,The Vanishing,5779.0,['2018']
144,PG-13,"['Action', 'Sci-Fi', 'Thriller']",58032443.0,6.2,50.0,143 min,Maze Runner: The Death Cure,87532.0,['2018']
145,Unrated,"['Drama', 'Mystery']",1251044.0,5.9,,97 min,An Interview with God,1336.0,['2018']
146,PG,"['Animation', 'Action', 'Adventure']",30712119.0,8.1,59.0,100 min,Dragon Ball Super: Broly,14425.0,['2018']
147,TV-MA,"['Horror', 'Mystery', 'Sci-Fi']",,4.8,,91 min,Await Further Instructions,3743.0,['2018']
148,PG-13,"['Biography', 'Drama', 'Fantasy']",25091816.0,5.4,28.0,99 min,Winchester,23144.0,['2018']
149,TV-14,"['Action', 'Drama']",,7.6,,115 min,Paskal: The Movie,2010.0,['2018']
150,R,"['Comedy', 'Crime', 'Drama']",,6.8,,92 min,Stockholm,157.0,['2018']
151,TV-MA,"['Drama', 'Fantasy', 'Horror']",,6.3,62.0,130 min,Apostle,27179.0,['2018']
152,R,['Drama'],13846.0,6.6,68.0,142 min,Napszállta,1428.0,['2018']
153,R,"['Comedy', 'Drama', 'Mystery']",9227130.0,7.0,75.0,95 min,Tully,38394.0,['2018']
154,TV-MA,"['Comedy', 'Thriller']",,5.7,41.0,85 min,Arizona,4019.0,['2018']
155,PG,"['Biography', 'Drama', 'Family']",83482352.0,7.4,30.0,110 min,I Can Only Imagine,10724.0,['2018']
156,R,"['Drama', 'Romance']",4102648.0,6.5,21.0,117 min,Life Itself,7931.0,['2018']
157,PG-13,"['Comedy', 'Sport']",42469946.0,5.7,57.0,103 min,Uncle Drew,8932.0,['2018']
158,Not Rated,"['Crime', 'Thriller']",1193046.0,8.5,,139 min,Andhadhun,37934.0,['2018']
159,PG,['Drama'],6046104.0,7.2,88.0,109 min,Leave No Trace,30464.0,['2018']
160,R,['Drama'],,5.8,47.0,120 min,Mary Magdalene,5350.0,['2018']
161,TV-MA,"['Drama', 'Mystery', 'Sci-Fi']",,7.3,,90 min,Black Mirror: Bandersnatch,85182.0,['2018']
162,R,"['Action', 'Drama', 'History']",45495662.0,6.6,54.0,130 min,12 Strong,47694.0,['2018']
163,PG,"['Action', 'Adventure', 'Comedy']",4280890.0,6.2,39.0,89 min,Johnny English Strikes Again,43061.0,['2018']
164,R,"['Action', 'Adventure', 'Comedy']",33562069.0,6.0,52.0,117 min,The Spy Who Dumped Me,43337.0,['2018']
165,,['Drama'],,6.4,28.0,123 min,The Death and Life of John F. Donovan,658.0,['2018']
166,PG-13,"['Action', 'Adventure', 'Sci-Fi']",59185715.0,5.6,44.0,111 min,Pacific Rim: Uprising,85676.0,['2018']
167,PG-13,"['Adventure', 'Drama', 'Family']",35851379.0,6.7,63.0,96 min,Alpha,37798.0,['2018']
168,TV-MA,"['Horror', 'Thriller']",,6.3,,103 min,Look Away,8987.0,['2018']
169,R,"['Drama', 'History', 'Thriller']",1076261.0,7.7,69.0,188 min,Werk ohne Autor,2587.0,['2018']
170,TV-MA,"['Adventure', 'Drama', 'Horror']",,5.6,63.0,125 min,Hold the Dark,25327.0,['2018']
171,Not Rated,['Drama'],904703.0,6.6,69.0,91 min,The Miseducation of Cameron Post,10813.0,['2018']
172,,['Drama'],,7.1,77.0,99 min,Sauvage,1214.0,['2018']
173,R,"['Drama', 'Romance', 'Thriller']",43549096.0,5.7,32.0,120 min,Acrimony,5376.0,['2018']
174,TV-14,"['Drama', 'History', 'Romance']",,7.4,65.0,124 min,The Guernsey Literary and Potato Peel Pie Society,20736.0,['2018']
175,R,"['Action', 'Drama', 'Sci-Fi']",,4.1,,100 min,The Last Man,455.0,['2018']
176,,"['Drama', 'Sci-Fi']",,6.1,,89 min,White Chamber,49.0,['2018']
177,R,"['Crime', 'Drama']",24011188.0,6.5,59.0,111 min,White Boy Rick,13403.0,['2018']
178,PG,"['Comedy', 'Family', 'Fantasy']",68549695.0,6.1,57.0,105 min,The House with a Clock in Its Walls,30003.0,['2018']
179,PG-13,"['Drama', 'History']",,6.5,70.0,154 min,Peterloo,1358.0,['2018']
180,PG,"['Adventure', 'Family', 'Fantasy']",100478608.0,4.2,53.0,109 min,A Wrinkle in Time,33726.0,['2018']
181,PG-13,"['Action', 'Mystery', 'Thriller']",36343858.0,6.3,56.0,105 min,The Commuter,79601.0,['2018']
182,R,"['Comedy', 'Romance']",990230.0,5.7,28.0,102 min,Little Italy,5036.0,['2018']
183,R,"['Drama', 'Fantasy', 'Horror']",,5.5,58.0,92 min,Wildling,7925.0,['2018']
184,,"['Action', 'Comedy', 'Romance']",,5.4,30.0,100 min,Blue Iguana,1194.0,['2018']
185,PG-13,"['Drama', 'Fantasy', 'Romance']",6102076.0,6.4,52.0,97 min,Every Day,12179.0,['2018']
186,,"['Drama', 'Mystery', 'Thriller']",,7.9,,90 min,We Have Always Lived in the Castle,79.0,['2018']
187,PG-13,"['Horror', 'Mystery', 'Thriller']",30569484.0,3.2,30.0,93 min,Slender Man,17459.0,['2018']
188,,"['Comedy', 'Drama']",,7.1,82.0,92 min,Thunder Road,6769.0,['2018']
189,PG-13,['Comedy'],77339130.0,5.6,43.0,111 min,Night School,20212.0,['2018']
190,PG-13,['Drama'],,6.4,,122 min,The Public,228.0,['2018']
191,PG,"['Animation', 'Adventure', 'Comedy']",83240103.0,6.7,60.0,96 min,Smallfoot,20845.0,['2018']
192,R,"['Biography', 'Drama', 'History']",2000105.0,6.2,61.0,113 min,The Front Runner,5047.0,['2018']
193,R,"['Drama', 'Horror', 'Mystery']",7732899.0,6.4,63.0,98 min,Unsane,30170.0,['2018']
194,R,"['Crime', 'Drama']",,5.5,47.0,108 min,King of Thieves,5878.0,['2018']
195,,"['Crime', 'Drama', 'Thriller']",,7.3,75.0,103 min,Dogman,11450.0,['2018']
196,PG-13,"['Biography', 'Drama', 'History']",17612099.0,6.5,58.0,122 min,Operation Finale,19206.0,['2018']
197,,"['Action', 'Thriller']",,7.0,69.0,121 min,The Night Comes for Us,13219.0,['2018']
